Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Sergi Cardona,es ESP,DF,26-291,26.0,18,"1,735",19.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.05,0.16,0.21,0.05,0.21,Matches,2025-2026,Villarreal CF,26
Rafa Marín,es ESP,DF,23-341,19.0,17,"1,619",18.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2025-2026,Villarreal CF,19
Alfonso Pedraza,es ESP,DF,30-016,23.0,15,"1,384",15.4,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.07,0.13,0.2,0.07,0.2,Matches,2025-2026,Villarreal CF,23
Daniel Parejo,es ESP,MF,37-009,26.0,13,"1,137",12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,26
Gerard Moreno,es ESP,FW,34-018,17.0,13,"1,032",11.5,8.0,0.0,8.0,6.0,2.0,2.0,0.0,0.0,0.7,0.0,0.7,0.52,0.52,Matches,2025-2026,Villarreal CF,17
Juan Foyth,ar ARG,DF,28-103,13.0,12,934,10.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,13
Ayoze Pérez,es ESP,FW,32-270,19.0,9,847,9.4,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.21,0.32,0.53,0.21,0.53,Matches,2025-2026,Villarreal CF,19
Tani Oluwaseyi,ca CAN,FW,25-345,25.0,7,777,8.6,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.23,0.23,0.46,0.23,0.46,Matches,2025-2026,Villarreal CF,25
Thomas Partey,gh GHA,MF,32-316,20.0,7,768,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,20
Arnau Tenas,es ESP,GK,24-330,4.0,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,4
Karl Etta Eyong,cm CMR,FW,22-193,3.0,3,256,2.8,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.35,0.7,1.05,0.35,1.05,Matches,2025-2026,Villarreal CF,3
Alfon,es ESP,MF,26-356,7.0,2,213,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.42,Matches,2025-2026,Villarreal CF,7
Ilias Akhomach,ma MAR,MF,22-009,9.0,2,188,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,9
Yeremi Pino,es ESP,MF,23-187,2.0,2,159,1.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,Matches,2025-2026,Villarreal CF,2
Manor Solomon,il ISR,MF,26-275,6.0,1,150,1.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,1.2,0.6,1.2,Matches,2025-2026,Villarreal CF,6
Hugo López,es ESP,MF,19-114,2.0,1,56,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,2
Carlos Macià,es ESP,MF,17-236,4.0,0,81,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,4
Alex Freeman,us USA,DF,21-259,6.0,0,76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,6
Adrià Altimira,es ESP,"DF,MF",25-028,1.0,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Villarreal CF,1
Mahamoud Barry,ml MLI,FW,19-318,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Pau Cabanes,es ESP,FW,21-067,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Diego Conde,es ESP,GK,27-179,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Alassane Diatta,sn SEN,MF,20-346,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
José Ángel Gaitán Diaz,es ESP,FW,19-059,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Rubén Gómez,es ESP,GK,24-091,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Willy Kambwala,fr FRA,DF,21-243,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Ismael Sierra,es ESP,DF,23-039,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Denis Suárez,es ESP,MF,32-109,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Jean Valou,ci CIV,DF,19-124,0.0,0,,,,,,,,,,,,,,,,Matches,2025-2026,Villarreal CF,0
Carlos Vicente,es ESP,MF,25,37.0,35,"3,092",34.4,5.0,5.0,10.0,4.0,1.0,1.0,3.0,0.0,0.15,0.15,0.29,0.12,0.26,Matches,2024-2025,Deportivo Alaves,37
Nahuel Tenaglia,ar ARG,DF,28,34.0,33,"2,922",32.5,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches,2024-2025,Deportivo Alaves,34
Antonio Sivera,es ESP,GK,27,32.0,32,"2,810",31.2,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,32
Antonio Blanco,es ESP,MF,24,35.0,32,"2,727",30.3,0.0,1.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.03,0.03,0.0,0.03,Matches,2024-2025,Deportivo Alaves,35
Manu Sánchez,es ESP,DF,23,33.0,30,"2,634",29.3,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.03,0.0,0.03,0.03,0.03,Matches,2024-2025,Deportivo Alaves,33
Kiké,es ESP,FW,34,35.0,29,"2,542",28.2,13.0,0.0,13.0,10.0,3.0,3.0,5.0,1.0,0.46,0.0,0.46,0.35,0.35,Matches,2024-2025,Deportivo Alaves,35
Abdel Abqar,ma MAR,DF,25,29.0,29,"2,463",27.4,0.0,1.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,2024-2025,Deportivo Alaves,29
Jon Guridi,es ESP,MF,29,33.0,27,"2,080",23.1,3.0,1.0,4.0,2.0,1.0,1.0,6.0,0.0,0.13,0.04,0.17,0.09,0.13,Matches,2024-2025,Deportivo Alaves,33
Ander Guevara,es ESP,MF,27,33.0,20,"1,947",21.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2024-2025,Deportivo Alaves,33
Moussa Diarra,ml MLI,DF,23,26.0,20,"1,866",20.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,26
Santiago Mouriño,uy URU,DF,22,25.0,20,"1,849",20.5,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2024-2025,Deportivo Alaves,25
Carlos Martín,es ESP,"MF,FW",22,26.0,16,"1,333",14.8,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,0.14,0.14,0.27,0.14,0.27,Matches,2024-2025,Deportivo Alaves,26
Joan Jordán,es ESP,MF,30,25.0,15,"1,414",15.7,5.0,2.0,7.0,2.0,3.0,4.0,4.0,0.0,0.32,0.13,0.45,0.13,0.25,Matches,2024-2025,Deportivo Alaves,25
Carles Aleñá,es ESP,MF,26,14.0,13,"1,090",12.1,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,2024-2025,Deportivo Alaves,14
Toni Martínez,es ESP,FW,27,28.0,9,"1,012",11.2,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36,Matches,2024-2025,Deportivo Alaves,28
Tomás Conechny,ar ARG,"MF,FW",26,22.0,9,847,9.4,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,2024-2025,Deportivo Alaves,22
Facundo Garcés,my MAS,DF,24,10.0,7,678,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,10
Aleksandar Sedlar,rs SRB,DF,32,9.0,7,594,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,9
Stoichkov,es ESP,"MF,FW",30,16.0,6,699,7.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches,2024-2025,Deportivo Alaves,16
Carlos Benavídez,uy URU,MF,26,18.0,6,487,5.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.18,0.18,0.37,0.18,0.37,Matches,2024-2025,Deportivo Alaves,18
Pica,es ESP,DF,22,9.0,5,499,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,9
Jesús Owono,gq EQG,GK,23,6.0,5,487,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,6
Abde Rebbach,dz ALG,"MF,FW",25,8.0,4,385,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,8
Asier Villalibre,es ESP,FW,26,16.0,2,333,3.7,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.27,0.27,0.54,0.0,0.27,Matches,2024-2025,Deportivo Alaves,16
Hugo Novoa,es ESP,"MF,DF",21,5.0,2,237,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,5
Luka Romero,ar ARG,"MF,FW",19,6.0,2,199,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,6
Pau Cabanes,es ESP,MF,19,6.0,2,188,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,6
Adrian Rodriguez,es ESP,GK,23,2.0,1,122,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,2
Luis Rioja,es ESP,"FW,MF",30,1.0,0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Deportivo Alaves,1
Daouda Doumbia,ml MLI,MF,22,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Alejandro Jay Agustín,es ESP,MF,22,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Julen Lartitegi,es ESP,FW,20,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Egoitz Muñoz,es ESP,DF,19,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Eneko Ortiz,es ESP,MF,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Joaquín Panichelli,ar ARG,FW,21,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Lander Pinillos,es ESP,MF,20,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Grégoire Swiderski,ca CAN,GK,18,0.0,0,,,,,,,,,,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Iñaki Williams,gh GHA,"MF,FW",30,,29,"2,652",29.5,6.0,8.0,14.0,6.0,0.0,0.0,1.0,0.0,0.2,0.27,0.48,0.2,0.48,Matches,2024-2025,Athletic Club,35
Daniel Vivian,es ESP,DF,25,,28,"2,608",29.0,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2024-2025,Athletic Club,32
Álex Berenguer,es ESP,"MF,FW",29,,28,"2,339",26.0,6.0,7.0,13.0,6.0,0.0,1.0,5.0,0.0,0.23,0.27,0.5,0.23,0.5,Matches,2024-2025,Athletic Club,36
Mikel Jauregizar,es ESP,MF,20,,25,"2,244",24.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,0.08,0.04,0.12,0.08,0.12,Matches,2024-2025,Athletic Club,34
Yuri Berchiche,es ESP,DF,34,,22,"2,044",22.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2024-2025,Athletic Club,30
Nico Williams,es ESP,MF,22,,22,"1,996",22.2,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,0.23,0.23,0.45,0.23,0.45,Matches,2024-2025,Athletic Club,29
Unai Simón,es ESP,GK,27,,21,"1,890",21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,21
Gorka Guruzeta,es ESP,FW,27,,21,"1,840",20.4,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0,0.34,0.1,0.44,0.34,0.44,Matches,2024-2025,Athletic Club,36
Aitor Paredes,es ESP,DF,24,,21,"1,812",20.1,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,0.15,0.0,0.15,0.15,0.15,Matches,2024-2025,Athletic Club,23
Beñat Prados,es ESP,MF,23,,21,"1,715",19.1,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2024-2025,Athletic Club,30
Yeray Álvarez,es ESP,DF,29,,20,"1,781",19.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,Matches,2024-2025,Athletic Club,21
Oihan Sancet,es ESP,MF,24,,19,"1,620",18.0,15.0,1.0,16.0,12.0,3.0,3.0,2.0,0.0,0.83,0.06,0.89,0.67,0.72,Matches,2024-2025,Athletic Club,29
Iñigo Ruiz de Galarreta,es ESP,MF,30,,18,"1,477",16.4,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches,2024-2025,Athletic Club,26
Óscar de Marcos,es ESP,DF,35,,17,"1,564",17.4,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.0,0.23,Matches,2024-2025,Athletic Club,26
Andoni Gorosabel,es ESP,DF,27,,17,"1,485",16.5,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.12,0.12,0.0,0.12,Matches,2024-2025,Athletic Club,20
Unai Gómez,es ESP,"MF,FW",21,,14,"1,284",14.3,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.07,0.21,0.28,0.07,0.28,Matches,2024-2025,Athletic Club,32
Julen Agirrezabala,es ESP,GK,23,,14,"1,206",13.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,14
Adama Boiro,es ESP,DF,22,,13,"1,101",12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,18
Mikel Vesga,es ESP,MF,31,,10,988,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,25
Iñigo Lekue,es ESP,DF,31,,8,773,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,16
Maroan Sannadi,ma MAR,FW,23,,7,754,8.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.12,0.12,0.24,0.12,0.24,Matches,2024-2025,Athletic Club,16
Álvaro djaló,gw GNB,"MF,FW",24,,7,659,7.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2024-2025,Athletic Club,17
Unai Núñez,es ESP,DF,27,,7,645,7.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,10
Alex Padilla,es ESP,GK,20,,3,321,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,5
Ander Herrera,es ESP,MF,34,,2,273,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,8
Peio Canales,es ESP,MF,19,,2,259,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,8
Nicolás Serrano,es ESP,MF,21,,1,112,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,4
Aingeru Olabarrieta,es ESP,MF,18,,1,54,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,1
Javi Martón,es ESP,FW,25,,0,53,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,3
Adu Ares,es ESP,MF,22,,0,19,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,1
Endika Buján,es ESP,FW,21,,0,7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Athletic Club,1
Unai Eguíluz,es ESP,DF,22,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Athletic Club,0
Oier Gastesi,es ESP,GK,20,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Athletic Club,0
Ander Izagirre,es ESP,DF,21,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Athletic Club,0
Alejandro Rego,es ESP,MF,21,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Athletic Club,0
Iker Varela,es ESP,MF,21,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Athletic Club,0
Jan Oblak,si SVN,GK,31,,36,"3,240",36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Atletico Madrid,36
Julián Álvarez,ar ARG,FW,24,,30,"2,509",27.9,17.0,4.0,21.0,13.0,4.0,4.0,5.0,0.0,0.61,0.14,0.75,0.47,0.61,Matches,2024-2025,Atletico Madrid,37
Antoine Griezmann,fr FRA,"FW,MF",33,,29,"2,469",27.4,8.0,7.0,15.0,7.0,1.0,2.0,2.0,0.0,0.29,0.26,0.55,0.26,0.51,Matches,2024-2025,Atletico Madrid,38
Marcos Llorente,es ESP,"DF,MF",29,,28,"2,513",27.9,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.07,0.14,0.21,0.07,0.21,Matches,2024-2025,Atletico Madrid,33
Pablo Barrios,es ESP,MF,21,,28,"2,330",25.9,1.0,4.0,5.0,1.0,0.0,0.0,4.0,1.0,0.04,0.15,0.19,0.04,0.19,Matches,2024-2025,Atletico Madrid,31
Giuliano Simeone,ar ARG,MF,21,,26,"1,926",21.4,2.0,6.0,8.0,2.0,0.0,0.0,4.0,0.0,0.09,0.28,0.37,0.09,0.37,Matches,2024-2025,Atletico Madrid,33
Robin Le Normand,es ESP,DF,27,,24,"2,151",23.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,2024-2025,Atletico Madrid,27
Rodrigo De Paul,ar ARG,MF,30,,23,"2,106",23.4,3.0,5.0,8.0,3.0,0.0,0.0,7.0,0.0,0.13,0.21,0.34,0.13,0.34,Matches,2024-2025,Atletico Madrid,34
Clément Lenglet,fr FRA,DF,29,,23,"1,972",21.9,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches,2024-2025,Atletico Madrid,23
Javi Galán,es ESP,DF,29,,21,"1,784",19.8,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2024-2025,Atletico Madrid,25
Samuel Lino,br BRA,MF,24,,21,"1,552",17.2,3.0,4.0,7.0,3.0,0.0,0.0,3.0,0.0,0.17,0.23,0.41,0.17,0.41,Matches,2024-2025,Atletico Madrid,31
José María Giménez,uy URU,DF,29,,20,"1,999",22.2,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2024-2025,Atletico Madrid,27
Koke,es ESP,MF,32,,20,"1,926",21.4,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches,2024-2025,Atletico Madrid,32
Conor Gallagher,eng ENG,MF,24,,19,"1,633",18.1,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,0.17,0.17,0.33,0.17,0.33,Matches,2024-2025,Atletico Madrid,32
Nahuel Molina,ar ARG,DF,26,,17,"1,590",17.7,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,2024-2025,Atletico Madrid,30
Alexander Sørloth,no NOR,FW,28,,15,"1,566",17.4,20.0,2.0,22.0,19.0,1.0,1.0,4.0,0.0,1.15,0.11,1.26,1.09,1.21,Matches,2024-2025,Atletico Madrid,35
Reinildo Mandava,mz MOZ,"DF,MF",30,,10,941,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Atletico Madrid,19
César Azpilicueta,es ESP,DF,34,,10,875,9.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2024-2025,Atletico Madrid,14
Axel Witsel,be BEL,DF,35,,9,852,9.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,2024-2025,Atletico Madrid,14
Rodrigo Riquelme,es ESP,"MF,DF",24,,4,516,5.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches,2024-2025,Atletico Madrid,16
Ángel Correa,ar ARG,FW,29,,3,805,8.9,4.0,1.0,5.0,4.0,0.0,0.0,3.0,1.0,0.45,0.11,0.56,0.45,0.56,Matches,2024-2025,Atletico Madrid,31
Juan Musso,ar ARG,GK,30,,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Atletico Madrid,2
Thomas Lemar,fr FRA,MF,28,,0,85,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Atletico Madrid,5
Adrian Niño,es ESP,FW,20,,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Atletico Madrid,1
Rayane Belaid,es ESP,DF,19,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Aitor Gismera,es ESP,MF,20,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Antonio Gomis,es ESP,GK,21,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Alejandro Iturbe,es ESP,GK,20,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Omar Janneh,es ESP,FW,17,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Ilias Kostis,gr GRE,DF,21,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Horaţiu Moldovan,ro ROU,GK,26,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Javier Serrano,es ESP,MF,21,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Gerónimo Spina,ar ARG,DF,19,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Arthur Vermeeren,be BEL,MF,19,,0,,,,,,,,,,,,,,,,Matches,2024-2025,Atletico Madrid,0
Diego Llorente,es ESP,DF,30,,29,"2,519",28.0,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,2024-2025,Real Betis,30
Johnny Cardoso,us USA,MF,22,,24,"2,144",23.8,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.13,0.04,0.17,0.13,0.17,Matches,2024-2025,Real Betis,28
Natan,br BRA,DF,23,,23,"2,175",24.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.04,0.04,0.08,0.04,0.08,Matches,2024-2025,Real Betis,31
Marc Bartra,es ESP,DF,33,,23,"2,099",23.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,2024-2025,Real Betis,25
Abde Ezzalzouli,ma MAR,MF,22,,23,"1,984",22.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,0.09,0.09,0.18,0.09,0.18,Matches,2024-2025,Real Betis,32
Romain Perraud,fr FRA,DF,26,,22,"2,002",22.2,2.0,2.0,4.0,2.0,0.0,0.0,8.0,1.0,0.09,0.09,0.18,0.09,0.18,Matches,2024-2025,Real Betis,28
Sergi Altimira,es ESP,MF,22,,22,"1,972",21.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2024-2025,Real Betis,32
Pablo Fornals,es ESP,MF,28,,22,"1,827",20.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2024-2025,Real Betis,26
Youssouf Sabaly,sn SEN,DF,31,,20,"1,581",17.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2024-2025,Real Betis,22
Adrián,es ESP,GK,37,,19,"1,710",19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2024-2025,Real Betis,19
