Player,Nationality,Position,Age,Matches_Played,Games_Started,Minutes_Played,Ninety_Minutes_Played,Goals,Assists,Goals_Plus_Assists,Non_Penalty_Goals,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,Goals_Per_90,Assists_Per_90,Goals_Plus_Assists_Per_90,Non_Penalty_Goals_Per_90,Non_Penalty_Goals_Plus_Assists_Per_90,Matches,Season,Team,MP
Iñaki Williams,gh GHA,"MF,FW",31-314,,20,"1,751",19.5,2.0,4.0,6.0,1.0,1.0,1.0,2.0,0.0,0.1,0.21,0.31,0.05,0.26,Matches,2025-2026,Athletic Club,24
Aymeric Laporte,es ESP,DF,31-333,,20,"1,743",19.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,2025-2026,Athletic Club,21
Nico Williams,es ESP,MF,23-287,,17,"1,482",16.5,4.0,2.0,6.0,3.0,1.0,2.0,1.0,0.0,0.24,0.12,0.36,0.18,0.3,Matches,2025-2026,Athletic Club,22
Aitor Paredes,es ESP,DF,25-361,,16,"1,450",16.1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2025-2026,Athletic Club,17
Jesús Areso,es ESP,DF,26-297,,13,"1,418",15.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,2025-2026,Athletic Club,24
Andoni Gorosabel,es ESP,DF,29-264,,11,953,10.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2025-2026,Athletic Club,18
Iñigo Lekue,es ESP,DF,32-356,,8,569,6.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,10
Roberto Navarro,es ESP,MF,24-013,,7,947,10.5,5.0,1.0,6.0,5.0,0.0,0.0,1.0,0.0,0.48,0.1,0.57,0.48,0.57,Matches,2025-2026,Athletic Club,26
Alejandro Rego,es ESP,MF,22-318,,7,888,9.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,2025-2026,Athletic Club,23
Unai Gómez,es ESP,"MF,FW",22-335,,7,627,7.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.14,0.14,0.29,0.14,0.29,Matches,2025-2026,Athletic Club,20
Adama Boiro,es ESP,DF,23-307,,6,605,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,10
Nicolás Serrano,es ESP,MF,23-051,,4,344,3.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,2025-2026,Athletic Club,14
Maroan Sannadi,ma MAR,FW,25-083,,2,279,3.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.32,0.0,0.32,0.32,0.32,Matches,2025-2026,Athletic Club,9
Selton Sánchez,es ESP,MF,19-064,,2,196,2.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,Matches,2025-2026,Athletic Club,7
Yeray Álvarez,es ESP,DF,31-091,,2,153,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,2
Mikel Vesga,es ESP,MF,32-339,,1,418,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,20
Urko Izeta,es ESP,FW,26-208,,1,171,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,11
Beñat Prados,es ESP,MF,25-076,,1,85,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,2
Eder García,es ESP,FW,22-111,,0,38,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,2
Asier Hierro,es ESP,FW,20-354,,0,34,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Athletic Club,1
Alex Padilla,es ESP,GK,22-236,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,Matches,2025-2026,Athletic Club,0
Endika Buján,es ESP,FW,23-099,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Unai Eguíluz,es ESP,DF,24-037,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Jon de Luis,es ESP,DF,22-263,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Iker Monreal,es ESP,DF,20-296,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Ibon Sánchez,es ESP,MF,22-048,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Mikel Santos,es ESP,GK,21-175,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Unai Vencedor Paris,es ESP,MF,25-161,,0,,,,,,,,,,,,,,,,Matches,2025-2026,Athletic Club,0
Jan Oblak,si SVN,GK,33-108,,27,"2,430",27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,27
Dávid Hancko,sk SVK,DF,28-133,,23,"2,117",23.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2025-2026,Atletico Madrid,26
Giuliano Simeone,ar ARG,MF,23-128,,22,"1,938",21.5,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,0.19,0.28,0.46,0.19,0.46,Matches,2025-2026,Atletico Madrid,28
Julián Álvarez,ar ARG,FW,26-084,,22,"1,895",21.1,8.0,4.0,12.0,6.0,2.0,3.0,2.0,0.0,0.38,0.19,0.57,0.28,0.47,Matches,2025-2026,Atletico Madrid,29
Marcos Llorente,es ESP,DF,31-085,,21,"1,861",20.7,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches,2025-2026,Atletico Madrid,25
Koke,es ESP,MF,34-107,,19,"1,770",19.7,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,2025-2026,Atletico Madrid,28
Pablo Barrios,es ESP,MF,22-314,,19,"1,604",17.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.06,0.06,0.11,0.06,0.11,Matches,2025-2026,Atletico Madrid,22
Alexander Sørloth,no NOR,FW,30-141,,18,"1,680",18.7,10.0,0.0,10.0,10.0,0.0,0.0,4.0,1.0,0.54,0.0,0.54,0.54,0.54,Matches,2025-2026,Atletico Madrid,30
Nicolás González,ar ARG,"MF,DF",28-019,,18,"1,420",15.8,5.0,0.0,5.0,5.0,0.0,0.0,4.0,1.0,0.32,0.0,0.32,0.32,0.32,Matches,2025-2026,Atletico Madrid,23
Alex Baena,es ESP,"MF,FW",24-279,,17,"1,282",14.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,0.14,0.14,0.28,0.14,0.28,Matches,2025-2026,Atletico Madrid,23
Matteo Ruggeri,it ITA,DF,23-288,,16,"1,369",15.2,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches,2025-2026,Atletico Madrid,21
Robin Le Normand,es ESP,DF,29-165,,15,"1,468",16.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,2025-2026,Atletico Madrid,23
Thiago Almada,ar ARG,"MF,FW",24-364,,14,"1,119",12.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.24,0.08,0.32,0.24,0.32,Matches,2025-2026,Atletico Madrid,23
Clément Lenglet,fr FRA,DF,30-312,,14,"1,084",12.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches,2025-2026,Atletico Madrid,14
Nahuel Molina,ar ARG,DF,28-019,,12,"1,182",13.1,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.15,0.08,0.23,0.15,0.23,Matches,2025-2026,Atletico Madrid,23
José María Giménez,uy URU,DF,31-095,,12,"1,159",12.9,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.08,0.08,0.0,0.08,Matches,2025-2026,Atletico Madrid,15
Johnny Cardoso,us USA,MF,24-217,,12,854,9.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2025-2026,Atletico Madrid,14
Marc Pubill,es ESP,DF,22-309,,10,976,10.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,2025-2026,Atletico Madrid,14
Antoine Griezmann,fr FRA,FW,35-035,,8,"1,071",11.9,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.5,0.08,0.59,0.5,0.59,Matches,2025-2026,Atletico Madrid,28
