Player,Nationality,Position,Age,Matches_Played,Minutes_Played,Minutes_Per_Match,Minutes_Percentage,Ninety_Minutes_Played,Games_Started,Minutes_Per_Start,Complete_Matches,Substitute_Appearances,Minutes_Per_Sub,Unused_Sub_Appearances,Points_Per_Match,Goals_Scored_On_Pitch,Goals_Allowed_On_Pitch,Plus_Minus,Plus_Minus_Per_90,On_Off_Per_90,Matches,Season,Team,MP
Sebastián Boselli,uy URU,DF,22-142,,315,35.0,10.9,3.5,3,90.0,3,6,8.0,3,2.22,4.0,1.0,3.0,0.86,1.1,Matches,2025-2026,Getafe CF,9
Christantus Uche,ng NGA,FW,22-341,,270,90.0,9.4,3.0,3,90.0,3,0,,0,2.0,4.0,4.0,0.0,0.0,0.14,Matches,2025-2026,Getafe CF,3
Coba da Costa,es ESP,MF,23-273,,348,25.0,12.1,3.9,2,56.0,0,12,20.0,7,0.86,2.0,3.0,-1.0,-0.26,-0.15,Matches,2025-2026,Getafe CF,14
Abu Kamara,eng ENG,MF,22-278,,201,20.0,7.0,2.2,1,45.0,0,9,17.0,6,1.0,0.0,2.0,-2.0,-0.9,-0.83,Matches,2025-2026,Getafe CF,10
Ismael Bekhoucha,ma MAR,DF,21-156,,122,31.0,4.2,1.4,1,90.0,1,3,11.0,7,2.25,3.0,1.0,2.0,1.48,1.67,Matches,2025-2026,Getafe CF,4
Alejandro Mestanza,es ESP,MF,21-139,,71,24.0,2.5,0.8,1,56.0,0,2,8.0,0,0.33,1.0,1.0,0.0,0.0,0.13,Matches,2025-2026,Getafe CF,3
Juanmi,es ESP,"FW,MF",32-340,,179,22.0,6.2,2.0,0,,0,8,22.0,8,0.13,2.0,4.0,-2.0,-1.01,-0.94,Matches,2025-2026,Getafe CF,8
Veljko Birmančević,rs SRB,"FW,MF",28-051,,91,23.0,3.2,1.0,0,,0,4,23.0,6,0.75,1.0,1.0,0.0,0.0,0.13,Matches,2025-2026,Getafe CF,4
Yvan Neyou,cm CMR,MF,29-112,,67,13.0,2.3,0.7,0,,0,5,13.0,10,2.0,0.0,2.0,-2.0,-2.69,-2.62,Matches,2025-2026,Getafe CF,5
Jorge Montes,es ESP,DF,22-050,,27,27.0,0.9,0.3,0,,0,1,27.0,15,0.0,1.0,1.0,0.0,0.0,0.13,Matches,2025-2026,Getafe CF,1
Joselu Pérez,es ESP,DF,22-044,,22,11.0,0.8,0.2,0,,0,2,11.0,11,0.5,2.0,1.0,1.0,4.09,4.25,Matches,2025-2026,Getafe CF,2
Alex Sola,es ESP,"DF,FW",26-320,,13,13.0,0.5,0.1,0,,0,1,13.0,2,3.0,0.0,0.0,0.0,0.0,0.13,Matches,2025-2026,Getafe CF,1
Hugo Solozabal,es ESP,MF,23-077,,11,11.0,0.4,0.1,0,,0,1,11.0,7,0.0,0.0,0.0,0.0,0.0,0.13,Matches,2025-2026,Getafe CF,1
Mykyta Alexandrov,ua UKR,MF,21-181,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,Getafe CF,0
Jorge Benito,es ESP,GK,20-114,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,Getafe CF,0
Diego Ferrer,es ESP,GK,19-008,,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Getafe CF,0
Peter González,do DOM,MF,23-274,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,Getafe CF,0
Lucas Laso,es ESP,DF,23-111,,,,,,0,,0,0,,10,,,,,,,Matches,2025-2026,Getafe CF,0
Jiří Letáček,,GK,27-106,,,,,,0,,0,0,,30,,,,,,,Matches,2025-2026,Getafe CF,0
Adrian Riquelme,es ESP,MF,20-057,,,,,,0,,0,0,,14,,,,,,,Matches,2025-2026,Getafe CF,0
Alberto Risco,es ESP,MF,20-238,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,Getafe CF,0
Yassin Tallal,es ESP,MF,20-357,,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Getafe CF,0
Marc Vilaplana,es ESP,DF,23-095,,,,,,0,,0,0,,3,,,,,,,Matches,2025-2026,Getafe CF,0
Vitor Reis,br BRA,DF,20-103,30.0,"2,598",87.0,90.2,28.9,29,88.0,28,1,33.0,0,1.13,30.0,41.0,-11.0,-0.38,0.26,Matches,2025-2026,Girona FC,30
Paulo Gazzaniga,ar ARG,GK,34-113,29.0,"2,562",88.0,89.0,28.5,29,88.0,28,0,,2,1.28,33.0,40.0,-7.0,-0.25,1.45,Matches,2025-2026,Girona FC,29
Daley Blind,nl NED,DF,36-047,29.0,"2,465",85.0,85.6,27.4,28,87.0,25,1,27.0,0,1.21,29.0,42.0,-13.0,-0.47,-0.47,Matches,2025-2026,Girona FC,29
Arnau Martinez,es ESP,"DF,MF",23-000,29.0,"2,192",76.0,76.1,24.4,27,80.0,15,2,14.0,2,1.28,31.0,29.0,2.0,0.08,2.04,Matches,2025-2026,Girona FC,29
Vladyslav Vanat,ua UKR,FW,24-111,27.0,"1,942",72.0,67.4,21.6,27,72.0,7,0,,0,1.37,21.0,26.0,-5.0,-0.23,0.54,Matches,2025-2026,Girona FC,27
Iván Martín,es ESP,MF,27-070,30.0,"2,175",73.0,75.5,24.2,25,83.0,12,5,20.0,1,1.27,26.0,30.0,-4.0,-0.17,0.98,Matches,2025-2026,Girona FC,30
Viktor Tsyhankov,ua UKR,MF,28-161,26.0,"2,101",81.0,73.0,23.3,25,83.0,13,1,28.0,0,1.23,25.0,32.0,-7.0,-0.3,0.39,Matches,2025-2026,Girona FC,26
Axel Witsel,be BEL,MF,37-103,26.0,"2,088",80.0,72.5,23.2,24,85.0,18,2,28.0,1,1.15,28.0,34.0,-6.0,-0.26,0.54,Matches,2025-2026,Girona FC,26
Álex Moreno,es ESP,DF,32-321,26.0,"2,139",82.0,74.3,23.8,23,90.0,23,3,23.0,0,1.23,25.0,34.0,-9.0,-0.38,0.11,Matches,2025-2026,Girona FC,26
Bryan Gil,es ESP,MF,25-073,24.0,"1,370",57.0,47.6,15.2,17,72.0,1,7,22.0,2,1.29,17.0,18.0,-1.0,-0.07,0.65,Matches,2025-2026,Girona FC,24
Hugo Rincón,es ESP,DF,23-088,29.0,"1,659",57.0,57.6,18.4,16,83.0,9,13,26.0,3,1.07,21.0,27.0,-6.0,-0.33,0.19,Matches,2025-2026,Girona FC,29
Azzedine Ounahi,ma MAR,MF,26-006,18.0,"1,273",71.0,44.2,14.1,14,83.0,6,4,28.0,0,1.17,19.0,17.0,2.0,0.14,0.98,Matches,2025-2026,Girona FC,18
Thomas Lemar,fr FRA,MF,30-164,22.0,"1,074",49.0,37.3,11.9,12,71.0,1,10,22.0,1,1.09,14.0,14.0,0.0,0.0,0.65,Matches,2025-2026,Girona FC,22
Joel Roca,es ESP,MF,20-322,26.0,"1,066",41.0,37.0,11.8,11,68.0,3,15,21.0,2,1.19,13.0,21.0,-8.0,-0.68,-0.43,Matches,2025-2026,Girona FC,26
Fran Beltrán,es ESP,MF,27-081,12.0,753,63.0,26.1,8.4,9,77.0,3,3,20.0,0,1.17,8.0,9.0,-1.0,-0.12,0.39,Matches,2025-2026,Girona FC,12
Alejandro Francés,es ESP,DF,23-267,19.0,726,38.0,25.2,8.1,7,71.0,2,12,19.0,8,1.58,10.0,15.0,-5.0,-0.62,-0.29,Matches,2025-2026,Girona FC,19
Yaser Asprilla,co COL,"FW,MF",22-157,15.0,611,41.0,21.2,6.8,6,70.0,2,9,22.0,5,0.93,5.0,14.0,-9.0,-1.33,-1.17,Matches,2025-2026,Girona FC,15
Portu,es ESP,"FW,MF",33-339,10.0,474,47.0,16.5,5.3,4,64.0,0,6,36.0,2,0.7,6.0,11.0,-5.0,-0.95,-0.65,Matches,2025-2026,Girona FC,10
Claudio Echeverri,ar ARG,"FW,MF",20-113,11.0,401,36.0,13.9,4.5,3,63.0,0,8,27.0,1,1.0,8.0,8.0,0.0,0.0,0.47,Matches,2025-2026,Girona FC,11
Jhon Solis,co COL,MF,21-204,12.0,380,32.0,13.2,4.2,3,78.0,1,9,16.0,5,0.75,2.0,14.0,-12.0,-2.84,-2.81,Matches,2025-2026,Girona FC,12
David López,es ESP,DF,36-198,4.0,203,51.0,7.0,2.3,2,77.0,1,2,25.0,14,0.75,1.0,6.0,-5.0,-2.22,-1.95,Matches,2025-2026,Girona FC,4
Ladislav Krejčí,cz CZE,DF,27-005,2.0,180,90.0,6.3,2.0,2,90.0,2,0,,0,0.0,1.0,8.0,-7.0,-3.5,-3.3,Matches,2025-2026,Girona FC,2
Marc-André ter Stegen,de GER,GK,33-360,2.0,180,90.0,6.3,2.0,2,90.0,2,0,,0,0.5,1.0,2.0,-1.0,-0.5,-0.1,Matches,2025-2026,Girona FC,2
Yangel Herrera,ve VEN,MF,28-101,2.0,110,55.0,3.8,1.2,2,55.0,0,0,,0,0.0,1.0,7.0,-6.0,-4.91,-4.68,Matches,2025-2026,Girona FC,2
