Player,Nationality,Position,Age,Matches_Played,Minutes_Played,Minutes_Per_Match,Minutes_Percentage,Ninety_Minutes_Played,Games_Started,Minutes_Per_Start,Complete_Matches,Substitute_Appearances,Minutes_Per_Sub,Unused_Sub_Appearances,Points_Per_Match,Goals_Scored_On_Pitch,Goals_Allowed_On_Pitch,Plus_Minus,Plus_Minus_Per_90,On_Off_Per_90,Matches,Season,Team,MP
Rubén Gómez,es ESP,GK,24-091,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Villarreal CF,0
Willy Kambwala,fr FRA,DF,21-243,0.0,,,,,0,,0,0,,5,,,,,,,Matches,2025-2026,Villarreal CF,0
Ismael Sierra,es ESP,DF,23-039,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2025-2026,Villarreal CF,0
Denis Suárez,es ESP,MF,32-109,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2025-2026,Villarreal CF,0
Jean Valou,ci CIV,DF,19-124,0.0,,,,,0,,0,0,,5,,,,,,,Matches,2025-2026,Villarreal CF,0
Carlos Vicente,es ESP,MF,25,37.0,"3,092",84.0,90.4,34.4,35,86.0,27,2,35.0,1,1.14,34.0,39.0,-5.0,-0.15,1.23,Matches,2024-2025,Deportivo Alaves,37
Nahuel Tenaglia,ar ARG,DF,28,34.0,"2,922",86.0,85.4,32.5,33,88.0,30,1,19.0,1,1.03,30.0,40.0,-10.0,-0.31,-0.31,Matches,2024-2025,Deportivo Alaves,34
Antonio Sivera,es ESP,GK,27,32.0,"2,810",88.0,82.2,31.2,32,88.0,30,0,,0,1.16,31.0,39.0,-8.0,-0.26,0.04,Matches,2024-2025,Deportivo Alaves,32
Antonio Blanco,es ESP,MF,24,35.0,"2,727",78.0,79.7,30.3,32,83.0,19,3,19.0,1,1.14,24.0,39.0,-15.0,-0.5,-1.14,Matches,2024-2025,Deportivo Alaves,35
Manu Sánchez,es ESP,DF,23,33.0,"2,634",80.0,77.0,29.3,30,85.0,20,3,24.0,2,1.15,27.0,37.0,-10.0,-0.34,-0.34,Matches,2024-2025,Deportivo Alaves,33
Kiké,es ESP,FW,34,35.0,"2,542",73.0,74.3,28.2,29,82.0,12,6,26.0,2,1.17,29.0,25.0,4.0,0.14,1.58,Matches,2024-2025,Deportivo Alaves,35
Abdel Abqar,ma MAR,DF,25,29.0,"2,463",85.0,72.0,27.4,29,85.0,24,0,,0,1.03,30.0,41.0,-11.0,-0.4,-0.5,Matches,2024-2025,Deportivo Alaves,29
Jon Guridi,es ESP,MF,29,33.0,"2,080",63.0,60.8,23.1,27,72.0,5,6,23.0,3,1.15,24.0,27.0,-3.0,-0.13,0.34,Matches,2024-2025,Deportivo Alaves,33
Ander Guevara,es ESP,MF,27,33.0,"1,947",59.0,56.9,21.6,20,80.0,10,13,27.0,5,1.12,24.0,24.0,0.0,0.0,0.61,Matches,2024-2025,Deportivo Alaves,33
Moussa Diarra,ml MLI,DF,23,26.0,"1,866",72.0,54.6,20.7,20,89.0,18,6,16.0,8,0.81,21.0,31.0,-10.0,-0.48,-0.48,Matches,2024-2025,Deportivo Alaves,26
Santiago Mouriño,uy URU,DF,22,25.0,"1,849",74.0,54.1,20.5,20,87.0,18,5,23.0,7,1.12,18.0,22.0,-4.0,-0.19,0.15,Matches,2024-2025,Deportivo Alaves,25
Carlos Martín,es ESP,"MF,FW",22,26.0,"1,333",51.0,39.0,14.8,16,66.0,1,10,27.0,10,1.08,11.0,14.0,-3.0,-0.2,0.1,Matches,2024-2025,Deportivo Alaves,26
Joan Jordán,es ESP,MF,30,25.0,"1,414",57.0,41.3,15.7,15,76.0,5,10,28.0,4,1.08,19.0,20.0,-1.0,-0.06,0.34,Matches,2024-2025,Deportivo Alaves,25
Carles Aleñá,es ESP,MF,26,14.0,"1,090",78.0,31.9,12.1,13,82.0,5,1,18.0,1,1.29,11.0,12.0,-1.0,-0.08,0.27,Matches,2024-2025,Deportivo Alaves,14
Toni Martínez,es ESP,FW,27,28.0,"1,012",36.0,29.6,11.2,9,71.0,2,19,19.0,8,1.0,12.0,17.0,-5.0,-0.44,-0.26,Matches,2024-2025,Deportivo Alaves,28
Tomás Conechny,ar ARG,"MF,FW",26,22.0,847,39.0,24.8,9.4,9,64.0,1,13,21.0,9,1.09,11.0,16.0,-5.0,-0.53,-0.36,Matches,2024-2025,Deportivo Alaves,22
Facundo Garcés,my MAS,DF,24,10.0,678,68.0,19.8,7.5,7,90.0,7,3,16.0,10,1.7,5.0,5.0,0.0,0.0,0.33,Matches,2024-2025,Deportivo Alaves,10
Aleksandar Sedlar,rs SRB,DF,32,9.0,594,66.0,17.4,6.6,7,82.0,4,2,9.0,25,1.11,9.0,8.0,1.0,0.15,0.5,Matches,2024-2025,Deportivo Alaves,9
Stoichkov,es ESP,"MF,FW",30,16.0,699,44.0,20.4,7.8,6,73.0,2,10,26.0,4,1.19,10.0,13.0,-3.0,-0.39,-0.15,Matches,2024-2025,Deportivo Alaves,16
Carlos Benavídez,uy URU,MF,26,18.0,487,27.0,14.2,5.4,6,59.0,1,12,11.0,12,1.32,7.0,11.0,-4.0,-0.74,-0.56,Matches,2024-2025,Deportivo Alaves,18
Pica,es ESP,DF,22,9.0,499,55.0,14.6,5.5,5,88.0,4,4,15.0,26,1.0,6.0,8.0,-2.0,-0.36,-0.11,Matches,2024-2025,Deportivo Alaves,9
Jesús Owono,gq EQG,GK,23,6.0,487,81.0,14.2,5.4,5,90.0,5,1,37.0,26,0.83,5.0,7.0,-2.0,-0.37,-0.12,Matches,2024-2025,Deportivo Alaves,6
Abde Rebbach,dz ALG,"MF,FW",25,8.0,385,48.0,11.3,4.3,4,75.0,1,4,22.0,10,1.25,6.0,7.0,-1.0,-0.23,0.03,Matches,2024-2025,Deportivo Alaves,8
Asier Villalibre,es ESP,FW,26,16.0,333,21.0,9.7,3.7,2,66.0,0,14,14.0,22,0.5,3.0,10.0,-7.0,-1.89,-1.8,Matches,2024-2025,Deportivo Alaves,16
Hugo Novoa,es ESP,"MF,DF",21,5.0,237,47.0,6.9,2.6,2,90.0,2,3,19.0,20,1.2,4.0,6.0,-2.0,-0.76,-0.53,Matches,2024-2025,Deportivo Alaves,5
Luka Romero,ar ARG,"MF,FW",19,6.0,199,33.0,5.8,2.2,2,58.0,0,4,21.0,12,0.83,3.0,5.0,-2.0,-0.9,-0.68,Matches,2024-2025,Deportivo Alaves,6
Pau Cabanes,es ESP,MF,19,6.0,188,31.0,5.5,2.1,2,52.0,0,4,21.0,11,0.5,1.0,2.0,-1.0,-0.48,-0.23,Matches,2024-2025,Deportivo Alaves,6
Adrian Rodriguez,es ESP,GK,23,2.0,122,61.0,3.6,1.4,1,90.0,1,1,32.0,23,2.0,2.0,2.0,0.0,0.0,0.27,Matches,2024-2025,Deportivo Alaves,2
Luis Rioja,es ESP,"FW,MF",30,1.0,23,23.0,0.7,0.3,0,,0,1,23.0,0,0.0,0.0,1.0,-1.0,-3.91,-3.67,Matches,2024-2025,Deportivo Alaves,1
Daouda Doumbia,ml MLI,MF,22,0.0,,,,,0,,0,0,,2,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Alejandro Jay Agustín,es ESP,MF,22,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Julen Lartitegi,es ESP,FW,20,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Egoitz Muñoz,es ESP,DF,19,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Eneko Ortiz,es ESP,MF,21,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Joaquín Panichelli,ar ARG,FW,21,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Lander Pinillos,es ESP,MF,20,0.0,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Grégoire Swiderski,ca CAN,GK,18,0.0,,,,,0,,0,0,,4,,,,,,,Matches,2024-2025,Deportivo Alaves,0
Iñaki Williams,gh GHA,"MF,FW",30,,"2,652",76.0,77.5,29.5,29,86.0,21,6,29.0,0,1.8,47.0,23.0,24.0,0.81,0.7,Matches,2024-2025,Athletic Club,35
Daniel Vivian,es ESP,DF,25,,"2,608",82.0,76.3,29.0,28,90.0,28,4,22.0,3,1.88,47.0,22.0,25.0,0.86,0.86,Matches,2024-2025,Athletic Club,32
Álex Berenguer,es ESP,"MF,FW",29,,"2,339",65.0,68.4,26.0,28,76.0,6,8,26.0,1,1.78,36.0,18.0,18.0,0.69,0.11,Matches,2024-2025,Athletic Club,36
Mikel Jauregizar,es ESP,MF,20,,"2,244",66.0,65.6,24.9,25,80.0,16,9,27.0,2,1.91,34.0,21.0,13.0,0.52,-0.4,Matches,2024-2025,Athletic Club,34
Yuri Berchiche,es ESP,DF,34,,"2,044",68.0,59.8,22.7,22,86.0,20,8,19.0,5,1.9,33.0,18.0,15.0,0.66,0.01,Matches,2024-2025,Athletic Club,30
Nico Williams,es ESP,MF,22,,"1,996",69.0,58.4,22.2,22,82.0,12,7,26.0,0,1.83,31.0,16.0,15.0,0.68,0.04,Matches,2024-2025,Athletic Club,29
Unai Simón,es ESP,GK,27,,"1,890",90.0,55.3,21.0,21,90.0,21,0,,4,1.81,28.0,14.0,14.0,0.67,0.02,Matches,2024-2025,Athletic Club,21
Gorka Guruzeta,es ESP,FW,27,,"1,840",51.0,53.8,20.4,21,69.0,4,15,26.0,1,1.92,28.0,13.0,15.0,0.73,0.16,Matches,2024-2025,Athletic Club,36
Aitor Paredes,es ESP,DF,24,,"1,812",79.0,53.0,20.1,21,85.0,16,2,15.0,11,1.57,32.0,20.0,12.0,0.6,-0.13,Matches,2024-2025,Athletic Club,23
Beñat Prados,es ESP,MF,23,,"1,715",57.0,50.1,19.1,21,71.0,5,9,25.0,5,1.8,22.0,14.0,8.0,0.42,-0.48,Matches,2024-2025,Athletic Club,30
Yeray Álvarez,es ESP,DF,29,,"1,781",85.0,52.1,19.8,20,89.0,19,1,2.0,9,1.9,20.0,11.0,9.0,0.45,-0.42,Matches,2024-2025,Athletic Club,21
Oihan Sancet,es ESP,MF,24,,"1,620",56.0,47.4,18.0,19,69.0,4,10,31.0,1,1.93,37.0,15.0,22.0,1.22,1.07,Matches,2024-2025,Athletic Club,29
Iñigo Ruiz de Galarreta,es ESP,MF,30,,"1,477",57.0,43.2,16.4,18,70.0,0,8,28.0,1,2.19,28.0,11.0,17.0,1.04,0.67,Matches,2024-2025,Athletic Club,26
Óscar de Marcos,es ESP,DF,35,,"1,564",60.0,45.7,17.4,17,84.0,11,9,15.0,11,2.04,35.0,11.0,24.0,1.38,1.33,Matches,2024-2025,Athletic Club,26
Andoni Gorosabel,es ESP,DF,27,,"1,485",74.0,43.4,16.5,17,84.0,9,3,20.0,17,1.7,16.0,12.0,4.0,0.24,-0.73,Matches,2024-2025,Athletic Club,20
Unai Gómez,es ESP,"MF,FW",21,,"1,284",40.0,37.5,14.3,14,61.0,0,18,24.0,4,1.75,13.0,12.0,1.0,0.07,-0.94,Matches,2024-2025,Athletic Club,32
Julen Agirrezabala,es ESP,GK,23,,"1,206",86.0,35.3,13.4,14,86.0,12,0,,22,2.21,22.0,9.0,13.0,0.97,0.48,Matches,2024-2025,Athletic Club,14
Adama Boiro,es ESP,DF,22,,"1,101",61.0,32.2,12.2,13,74.0,3,5,28.0,18,1.89,18.0,8.0,10.0,0.82,0.24,Matches,2024-2025,Athletic Club,18
Mikel Vesga,es ESP,MF,31,,988,40.0,28.9,11.0,10,73.0,4,15,17.0,10,1.88,19.0,8.0,11.0,1.0,0.48,Matches,2024-2025,Athletic Club,25
Iñigo Lekue,es ESP,DF,31,,773,48.0,22.6,8.6,8,84.0,6,8,12.0,22,1.63,8.0,9.0,-1.0,-0.12,-1.0,Matches,2024-2025,Athletic Club,16
Maroan Sannadi,ma MAR,FW,23,,754,47.0,22.0,8.4,7,75.0,1,9,25.0,1,1.81,13.0,7.0,6.0,0.72,0.07,Matches,2024-2025,Athletic Club,16
Álvaro djaló,gw GNB,"MF,FW",24,,659,39.0,19.3,7.3,7,58.0,0,10,25.0,12,1.76,7.0,6.0,1.0,0.14,-0.65,Matches,2024-2025,Athletic Club,17
Unai Núñez,es ESP,DF,27,,645,65.0,18.9,7.2,7,85.0,5,3,18.0,23,1.6,9.0,5.0,4.0,0.56,-0.12,Matches,2024-2025,Athletic Club,10
Alex Padilla,es ESP,GK,20,,321,64.0,9.4,3.6,3,90.0,3,2,26.0,8,1.0,4.0,6.0,-2.0,-0.56,-1.34,Matches,2024-2025,Athletic Club,5
Ander Herrera,es ESP,MF,34,,273,34.0,8.0,3.0,2,71.0,0,6,22.0,6,1.13,3.0,2.0,1.0,0.33,-0.36,Matches,2024-2025,Athletic Club,8
Peio Canales,es ESP,MF,19,,259,32.0,7.6,2.9,2,60.0,0,6,23.0,13,2.0,2.0,1.0,1.0,0.35,-0.34,Matches,2024-2025,Athletic Club,8
Nicolás Serrano,es ESP,MF,21,,112,28.0,3.3,1.2,1,79.0,0,3,11.0,14,2.0,0.0,2.0,-2.0,-1.61,-2.34,Matches,2024-2025,Athletic Club,4
Aingeru Olabarrieta,es ESP,MF,18,,54,54.0,1.6,0.6,1,54.0,0,0,,2,3.0,0.0,0.0,0.0,0.0,-0.67,Matches,2024-2025,Athletic Club,1
Javi Martón,es ESP,FW,25,,53,18.0,1.5,0.6,0,,0,3,18.0,12,1.67,1.0,0.0,1.0,1.7,1.06,Matches,2024-2025,Athletic Club,3
Adu Ares,es ESP,MF,22,,19,19.0,0.6,0.2,0,,0,1,19.0,2,0.0,0.0,1.0,-1.0,-4.74,-5.42,Matches,2024-2025,Athletic Club,1
Endika Buján,es ESP,FW,21,,7,7.0,0.2,0.1,0,,0,1,7.0,2,3.0,0.0,0.0,0.0,0.0,-0.66,Matches,2024-2025,Athletic Club,1
Unai Eguíluz,es ESP,DF,22,,,,,,0,,0,0,,3,,,,,,,Matches,2024-2025,Athletic Club,0
Oier Gastesi,es ESP,GK,20,,,,,,0,,0,0,,3,,,,,,,Matches,2024-2025,Athletic Club,0
Ander Izagirre,es ESP,DF,21,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Athletic Club,0
Alejandro Rego,es ESP,MF,21,,,,,,0,,0,0,,3,,,,,,,Matches,2024-2025,Athletic Club,0
Iker Varela,es ESP,MF,21,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Athletic Club,0
Jan Oblak,si SVN,GK,31,,"3,240",90.0,94.7,36.0,36,90.0,36,0,,0,1.94,63.0,30.0,33.0,0.92,-1.58,Matches,2024-2025,Atletico Madrid,36
Julián Álvarez,ar ARG,FW,24,,"2,509",68.0,73.4,27.9,30,77.0,12,7,29.0,0,1.97,47.0,17.0,30.0,1.08,0.29,Matches,2024-2025,Atletico Madrid,37
Antoine Griezmann,fr FRA,"FW,MF",33,,"2,469",65.0,72.2,27.4,29,75.0,9,9,31.0,0,2.0,40.0,21.0,19.0,0.69,-1.11,Matches,2024-2025,Atletico Madrid,38
Marcos Llorente,es ESP,"DF,MF",29,,"2,513",76.0,73.5,27.9,28,85.0,22,5,29.0,0,2.0,52.0,25.0,27.0,0.97,-0.12,Matches,2024-2025,Atletico Madrid,33
Pablo Barrios,es ESP,MF,21,,"2,330",75.0,68.1,25.9,28,80.0,19,3,34.0,0,2.0,51.0,24.0,27.0,1.04,0.13,Matches,2024-2025,Atletico Madrid,31
Giuliano Simeone,ar ARG,MF,21,,"1,926",58.0,56.3,21.4,26,68.0,3,7,22.0,5,2.09,44.0,18.0,26.0,1.21,0.49,Matches,2024-2025,Atletico Madrid,33
Robin Le Normand,es ESP,DF,27,,"2,151",80.0,62.9,23.9,24,87.0,23,3,18.0,3,1.93,39.0,17.0,22.0,0.92,-0.21,Matches,2024-2025,Atletico Madrid,27
Rodrigo De Paul,ar ARG,MF,30,,"2,106",62.0,61.6,23.4,23,76.0,8,11,33.0,0,1.94,41.0,17.0,24.0,1.03,0.07,Matches,2024-2025,Atletico Madrid,34
Clément Lenglet,fr FRA,DF,29,,"1,972",86.0,57.7,21.9,23,86.0,19,0,,10,2.39,43.0,18.0,25.0,1.14,0.33,Matches,2024-2025,Atletico Madrid,23
Javi Galán,es ESP,DF,29,,"1,784",71.0,52.2,19.8,21,78.0,11,4,38.0,11,2.0,38.0,14.0,24.0,1.21,0.44,Matches,2024-2025,Atletico Madrid,25
Samuel Lino,br BRA,MF,24,,"1,552",50.0,45.4,17.2,21,58.0,1,10,33.0,5,1.94,30.0,10.0,20.0,1.16,0.29,Matches,2024-2025,Atletico Madrid,31
José María Giménez,uy URU,DF,29,,"1,999",74.0,58.5,22.2,20,88.0,19,7,34.0,7,1.89,41.0,20.0,21.0,0.95,-0.13,Matches,2024-2025,Atletico Madrid,27
Koke,es ESP,MF,32,,"1,926",60.0,56.3,21.4,20,76.0,9,12,33.0,1,2.06,32.0,14.0,18.0,0.84,-0.36,Matches,2024-2025,Atletico Madrid,32
Conor Gallagher,eng ENG,MF,24,,"1,633",51.0,47.7,18.1,19,68.0,4,13,26.0,5,2.0,34.0,19.0,15.0,0.83,-0.33,Matches,2024-2025,Atletico Madrid,32
Nahuel Molina,ar ARG,DF,26,,"1,590",53.0,46.5,17.7,17,74.0,9,13,26.0,6,1.9,19.0,11.0,8.0,0.45,-1.02,Matches,2024-2025,Atletico Madrid,30
Alexander Sørloth,no NOR,FW,28,,"1,566",45.0,45.8,17.4,15,68.0,2,20,27.0,2,2.06,40.0,13.0,27.0,1.55,1.02,Matches,2024-2025,Atletico Madrid,35
Reinildo Mandava,mz MOZ,"DF,MF",30,,941,50.0,27.5,10.5,10,76.0,6,9,20.0,19,1.74,15.0,12.0,3.0,0.29,-0.98,Matches,2024-2025,Atletico Madrid,19
César Azpilicueta,es ESP,DF,34,,875,63.0,25.6,9.7,10,75.0,5,4,32.0,16,1.8,18.0,8.0,10.0,1.03,0.04,Matches,2024-2025,Atletico Madrid,14
Axel Witsel,be BEL,DF,35,,852,61.0,24.9,9.5,9,85.0,8,5,17.0,24,2.07,17.0,8.0,9.0,0.95,-0.07,Matches,2024-2025,Atletico Madrid,14
Rodrigo Riquelme,es ESP,"MF,DF",24,,516,32.0,15.1,5.7,4,72.0,1,12,19.0,19,2.13,13.0,5.0,8.0,1.4,0.47,Matches,2024-2025,Atletico Madrid,16
Ángel Correa,ar ARG,FW,29,,805,26.0,23.5,8.9,3,57.0,0,28,23.0,3,2.0,21.0,6.0,15.0,1.68,0.89,Matches,2024-2025,Atletico Madrid,31
Juan Musso,ar ARG,GK,30,,180,90.0,5.3,2.0,2,90.0,2,0,,34,3.0,5.0,0.0,5.0,2.5,1.58,Matches,2024-2025,Atletico Madrid,2
Thomas Lemar,fr FRA,MF,28,,85,17.0,2.5,0.9,0,,0,5,17.0,21,1.8,3.0,2.0,1.0,1.06,0.06,Matches,2024-2025,Atletico Madrid,5
Adrian Niño,es ESP,FW,20,,12,12.0,0.4,0.1,0,,0,1,12.0,0,0.0,0.0,0.0,0.0,0.0,-1.0,Matches,2024-2025,Atletico Madrid,1
Rayane Belaid,es ESP,DF,19,,,,,,0,,0,0,,3,,,,,,,Matches,2024-2025,Atletico Madrid,0
Aitor Gismera,es ESP,MF,20,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Atletico Madrid,0
Antonio Gomis,es ESP,GK,21,,,,,,0,,0,0,,31,,,,,,,Matches,2024-2025,Atletico Madrid,0
Alejandro Iturbe,es ESP,GK,20,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Atletico Madrid,0
Omar Janneh,es ESP,FW,17,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Atletico Madrid,0
Ilias Kostis,gr GRE,DF,21,,,,,,0,,0,0,,7,,,,,,,Matches,2024-2025,Atletico Madrid,0
Horaţiu Moldovan,ro ROU,GK,26,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Atletico Madrid,0
Javier Serrano,es ESP,MF,21,,,,,,0,,0,0,,4,,,,,,,Matches,2024-2025,Atletico Madrid,0
Gerónimo Spina,ar ARG,DF,19,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Atletico Madrid,0
Arthur Vermeeren,be BEL,MF,19,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Atletico Madrid,0
Diego Llorente,es ESP,DF,30,,"2,519",84.0,73.7,28.0,29,86.0,26,1,12.0,1,1.6,36.0,32.0,4.0,0.14,-0.16,Matches,2024-2025,Real Betis,30
Johnny Cardoso,us USA,MF,22,,"2,144",77.0,62.7,23.8,24,86.0,19,4,18.0,3,1.61,39.0,32.0,7.0,0.29,0.29,Matches,2024-2025,Real Betis,28
Natan,br BRA,DF,23,,"2,175",70.0,63.6,24.2,23,90.0,23,8,13.0,5,1.55,36.0,36.0,0.0,0.0,-0.51,Matches,2024-2025,Real Betis,31
Marc Bartra,es ESP,DF,33,,"2,099",84.0,61.4,23.3,23,89.0,19,2,29.0,6,1.72,41.0,29.0,12.0,0.51,0.86,Matches,2024-2025,Real Betis,25
Abde Ezzalzouli,ma MAR,MF,22,,"1,984",62.0,58.0,22.0,23,75.0,2,9,28.0,1,1.47,31.0,31.0,0.0,0.0,-0.44,Matches,2024-2025,Real Betis,32
Romain Perraud,fr FRA,DF,26,,"2,002",72.0,58.5,22.2,22,85.0,19,6,22.0,8,1.25,34.0,31.0,3.0,0.13,-0.12,Matches,2024-2025,Real Betis,28
Sergi Altimira,es ESP,MF,22,,"1,972",62.0,57.7,21.9,22,77.0,9,10,27.0,6,1.63,32.0,33.0,-1.0,-0.05,-0.54,Matches,2024-2025,Real Betis,32
Pablo Fornals,es ESP,MF,28,,"1,827",70.0,53.4,20.3,22,78.0,7,4,28.0,2,1.54,26.0,24.0,2.0,0.1,-0.18,Matches,2024-2025,Real Betis,26
Youssouf Sabaly,sn SEN,DF,31,,"1,581",72.0,46.2,17.6,20,77.0,10,2,23.0,7,1.68,20.0,24.0,-4.0,-0.23,-0.77,Matches,2024-2025,Real Betis,22
Adrián,es ESP,GK,37,,"1,710",90.0,50.0,19.0,19,90.0,19,0,,17,1.95,39.0,27.0,12.0,0.63,0.89,Matches,2024-2025,Real Betis,19
Isco,es ESP,MF,32,,"1,547",70.0,45.2,17.2,17,82.0,9,5,31.0,0,1.77,35.0,24.0,11.0,0.64,0.83,Matches,2024-2025,Real Betis,22
Giovani Lo Celso,ar ARG,MF,28,,"1,457",58.0,42.6,16.2,15,78.0,7,10,29.0,0,1.4,22.0,20.0,2.0,0.12,-0.11,Matches,2024-2025,Real Betis,25
Antony,br BRA,MF,24,,"1,362",80.0,39.8,15.1,15,85.0,10,2,40.0,0,1.88,34.0,20.0,14.0,0.93,1.23,Matches,2024-2025,Real Betis,17
Rui Silva,pt POR,GK,30,,"1,350",90.0,39.5,15.0,15,90.0,15,0,,0,1.33,16.0,18.0,-2.0,-0.13,-0.52,Matches,2024-2025,Real Betis,15
Ricardo Rodríguez,ch SUI,DF,31,,"1,274",71.0,37.3,14.2,15,79.0,9,3,30.0,17,1.83,21.0,16.0,5.0,0.35,0.27,Matches,2024-2025,Real Betis,18
Jesus Rodríguez,es ESP,MF,18,,"1,111",53.0,32.5,12.3,15,67.0,0,6,17.0,3,1.71,20.0,14.0,6.0,0.49,0.45,Matches,2024-2025,Real Betis,21
Vitor Roque,br BRA,FW,19,,"1,235",56.0,36.1,13.7,14,74.0,3,8,24.0,0,1.45,18.0,23.0,-5.0,-0.36,-0.86,Matches,2024-2025,Real Betis,22
Cucho,co COL,FW,25,,"1,139",76.0,33.3,12.7,14,78.0,3,1,45.0,1,2.07,28.0,15.0,13.0,1.03,1.26,Matches,2024-2025,Real Betis,15
Aitor Ruibal,es ESP,"DF,FW",28,,"1,313",45.0,38.4,14.6,13,75.0,5,16,21.0,2,1.66,24.0,20.0,4.0,0.27,0.15,Matches,2024-2025,Real Betis,29
Marc Roca,es ESP,MF,27,,906,65.0,26.5,10.1,11,76.0,5,3,25.0,1,1.36,12.0,10.0,2.0,0.2,0.02,Matches,2024-2025,Real Betis,14
Cédric Bakambu,cd COD,FW,33,,710,28.0,20.8,7.9,6,57.0,0,19,19.0,7,1.46,15.0,8.0,7.0,0.89,0.89,Matches,2024-2025,Real Betis,25
Ezequiel Ávila,ar ARG,"MF,FW",30,,677,36.0,19.8,7.5,6,62.0,1,13,23.0,5,1.63,9.0,7.0,2.0,0.27,0.1,Matches,2024-2025,Real Betis,19
Héctor Bellerín,es ESP,DF,29,,580,64.0,17.0,6.4,6,83.0,5,3,28.0,10,2.11,10.0,6.0,4.0,0.62,0.53,Matches,2024-2025,Real Betis,9
William Carvalho,pt POR,MF,32,,484,35.0,14.2,5.4,6,60.0,1,8,15.0,1,1.5,3.0,5.0,-2.0,-0.37,-0.65,Matches,2024-2025,Real Betis,14
Fran Vieites,es ESP,GK,25,,360,90.0,10.5,4.0,4,90.0,4,0,,30,1.25,5.0,5.0,0.0,0.0,-0.21,Matches,2024-2025,Real Betis,4
Ángel Ortíz,es ESP,DF,20,,353,71.0,10.3,3.9,4,86.0,3,1,9.0,2,1.4,8.0,6.0,2.0,0.51,0.36,Matches,2024-2025,Real Betis,5
Iker Losada,es ESP,MF,22,,336,34.0,9.8,3.7,3,67.0,0,7,19.0,11,1.5,4.0,8.0,-4.0,-1.07,-1.39,Matches,2024-2025,Real Betis,10
Assane Diao,sn SEN,FW,18,,277,28.0,8.1,3.1,2,62.0,0,8,19.0,8,1.6,3.0,4.0,-1.0,-0.32,-0.55,Matches,2024-2025,Real Betis,10
Juanmi,es ESP,MF,31,,244,22.0,7.1,2.7,2,60.0,0,9,14.0,9,0.91,3.0,3.0,0.0,0.0,-0.2,Matches,2024-2025,Real Betis,11
Nabil Fekir,fr FRA,MF,31,,180,90.0,5.3,2.0,2,90.0,2,0,,0,1.0,1.0,1.0,0.0,0.0,-0.19,Matches,2024-2025,Real Betis,2
Carlos Guirao,es ESP,MF,21,,110,55.0,3.2,1.2,2,55.0,0,0,,1,0.0,1.0,6.0,-5.0,-4.09,-4.42,Matches,2024-2025,Real Betis,2
Mateo Flores,es ESP,MF,20,,153,26.0,4.5,1.7,1,75.0,0,5,16.0,15,1.17,2.0,3.0,-1.0,-0.59,-0.81,Matches,2024-2025,Real Betis,6
Rodri,es ESP,MF,24,,118,39.0,3.5,1.3,1,71.0,0,2,24.0,0,0.67,0.0,2.0,-2.0,-1.53,-1.77,Matches,2024-2025,Real Betis,3
Nobel Mendy,sn SEN,DF,19,,108,54.0,3.2,1.2,1,90.0,1,1,18.0,11,0.5,1.0,5.0,-4.0,-3.33,-3.63,Matches,2024-2025,Real Betis,2
Sergio Arribas,es ESP,DF,21,,90,90.0,2.6,1.0,1,90.0,1,0,,2,3.0,1.0,0.0,1.0,1.0,0.84,Matches,2024-2025,Real Betis,1
Pablo Garcia,es ESP,FW,18,,38,13.0,1.1,0.4,0,,0,3,13.0,4,1.67,1.0,0.0,1.0,2.37,2.21,Matches,2024-2025,Real Betis,3
Alcázar,es ESP,DF,22,,,,,,0,,0,0,,5,,,,,,,Matches,2024-2025,Real Betis,0
Pablo Busto,es ESP,DF,18,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Real Betis,0
Guilherme Fernandes,pt POR,GK,23,,,,,,0,,0,0,,11,,,,,,,Matches,2024-2025,Real Betis,0
Marcos Fernández,es ESP,FW,21,,,,,,0,,0,0,,1,,,,,,,Matches,2024-2025,Real Betis,0
Germán García,es ESP,GK,20,,,,,,0,,0,0,,6,,,,,,,Matches,2024-2025,Real Betis,0
