Player,Team,Season,Position,Age,Matches_Played,Minutes_Played,Goals,Assists,Overall_Rating
Javi Rodríguez,Celta Vigo,2025-2026,DF,22-303,,"2,018",0.0,1.0,42.8
Ilaix Moriba,Celta Vigo,2025-2026,MF,23-096,,"2,045",1.0,2.0,46.1
Óscar Mingueza,Celta Vigo,2025-2026,"MF,DF",26-347,,"1,716",1.0,4.0,48.3
Ferran Jutglà,Celta Vigo,2025-2026,"FW,MF",27-083,,"1,356",7.0,2.0,60.5
Borja Iglesias,Celta Vigo,2025-2026,FW,33-098,,"1,575",11.0,2.0,66.7
Carl Starfelt,Celta Vigo,2025-2026,DF,30-328,,"1,491",0.0,0.0,41.4
Pablo Durán,Celta Vigo,2025-2026,"FW,MF",24-335,,"1,239",2.0,2.0,49.7
Miguel Román,Celta Vigo,2025-2026,MF,23-120,,"1,311",1.0,0.0,44.7
Hugo Sotelo,Celta Vigo,2025-2026,MF,22-127,,"1,188",0.0,2.0,44.2
Bryan Zaragoza,Celta Vigo,2025-2026,"FW,MF",24-228,,"1,131",1.0,1.0,45.2
Javi Rueda,Celta Vigo,2025-2026,MF,23-352,,"1,160",2.0,4.0,50.6
Hugo Álvarez,Celta Vigo,2025-2026,"FW,MF",22-297,,"1,073",3.0,1.0,50.6
Williot Swedberg,Celta Vigo,2025-2026,"FW,MF",22-083,,"1,012",4.0,3.0,54.9
Manu Fernández,Celta Vigo,2025-2026,DF,25-002,,713,0.0,0.0,43.1
Iago Aspas,Celta Vigo,2025-2026,"FW,MF",38-267,,878,4.0,3.0,43.1
Fer López,Celta Vigo,2025-2026,"MF,FW",21-336,,723,1.0,0.0,43.1
Joseph Aidoo,Celta Vigo,2025-2026,DF,30-208,,639,0.0,0.0,43.1
Fran Beltrán,Celta Vigo,2025-2026,MF,27-081,,528,0.0,0.0,43.1
Carlos Dominguez,Celta Vigo,2025-2026,DF,25-073,,610,0.0,0.0,43.1
Yoel Lago,Celta Vigo,2025-2026,DF,22-031,,398,0.0,0.0,43.1
Jones El-Abdellaoui,Celta Vigo,2025-2026,"MF,FW",20-103,,638,2.0,0.0,43.1
Mihailo Ristić,Celta Vigo,2025-2026,"MF,DF",30-176,,251,0.0,0.0,43.1
Álvaro Núñez,Celta Vigo,2025-2026,"DF,MF",25-292,,169,0.0,0.0,43.1
Damián Rodríguez,Celta Vigo,2025-2026,MF,23-039,,150,0.0,0.0,43.1
Matías Vecino,Celta Vigo,2025-2026,MF,34-244,,117,0.0,0.0,43.1
Andrés Antañón,Celta Vigo,2025-2026,FW,19-093,,63,0.0,0.0,43.1
Hugo García,Celta Vigo,2025-2026,MF,19-176,,8,0.0,0.0,43.1
Ángel Arcos,Celta Vigo,2025-2026,FW,20-007,,,,,43.1
Franco Cervi,Celta Vigo,2025-2026,"FW,MF",31-334,,,,,43.1
Hugo González,Celta Vigo,2025-2026,FW,23-077,,,,,43.1
Iván Villar,Celta Vigo,2025-2026,GK,28-290,,,,,43.1
Aleix Febas,Elche CF,2025-2026,MF,30-082,31.0,"2,741",2.0,2.0,47.8
Germán Valera,Elche CF,2025-2026,"MF,DF",24-040,31.0,"2,479",4.0,4.0,55.6
David Affengruber,Elche CF,2025-2026,DF,25-037,30.0,"2,442",1.0,1.0,44.0
Marc Aguado,Elche CF,2025-2026,MF,26-062,29.0,"2,009",1.0,1.0,45.9
Rafa Mir,Elche CF,2025-2026,"FW,MF",28-311,27.0,"1,803",8.0,0.0,60.1
Pedro Bigas,Elche CF,2025-2026,DF,35-222,23.0,"1,613",0.0,2.0,42.8
Víctor Chust,Elche CF,2025-2026,DF,26-051,25.0,"1,832",0.0,0.0,40.2
Álvaro Rodríguez,Elche CF,2025-2026,FW,21-285,28.0,"1,745",5.0,4.0,58.4
Álvaro Núñez,Elche CF,2025-2026,"DF,MF",25-292,19.0,"1,647",0.0,2.0,44.5
Léo Pétrot,Elche CF,2025-2026,DF,29-010,29.0,"1,514",0.0,0.0,42.6
André Silva,Elche CF,2025-2026,FW,30-170,25.0,"1,457",9.0,0.0,62.0
Matías Dituro,Elche CF,2025-2026,GK,38-352,16.0,"1,440",0.0,0.0,42.8
Iñaki Peña,Elche CF,2025-2026,GK,27-054,16.0,"1,440",0.0,0.0,43.1
Martim Neto,Elche CF,2025-2026,MF,23-101,24.0,"1,314",2.0,5.0,52.0
Grady Diangana,Elche CF,2025-2026,MF,28-006,17.0,763,1.0,0.0,43.1
Tete Morente,Elche CF,2025-2026,MF,29-142,7.0,559,1.0,1.0,43.1
Adrià Pedrosa,Elche CF,2025-2026,"DF,MF",27-347,21.0,890,1.0,1.0,43.1
Rodrigo Mendoza,Elche CF,2025-2026,"MF,FW",21-041,16.0,794,1.0,0.0,43.1
John Donald,Elche CF,2025-2026,"DF,MF",25-238,15.0,485,1.0,0.0,43.1
Héctor Fort,Elche CF,2025-2026,"DF,MF",19-266,9.0,327,1.0,2.0,43.1
Buba Sangaré,Elche CF,2025-2026,"DF,MF",18-262,7.0,320,0.0,0.0,43.1
Josan,Elche CF,2025-2026,"MF,DF",36-143,16.0,514,0.0,2.0,43.1
Lucas Cepeda,Elche CF,2025-2026,MF,23-176,8.0,381,1.0,0.0,43.1
